targets,n_epochs,batch_size,l1_lambda,l2_lambda,loss_func,hidden_channels,conv_layers,conv_activation,decode_activation,decode_layers,learning_rate,schedule,g_up,g_down,N_params,N_trainable,scatter,lowest,epoch_exit,last20,last10
[0],250.0,512.0,0.0,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,248833.0,248833.0,0.08957915753126144,0.08904872089624405,191.0,0.09024003148078918,0.0895812138915062
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,1.0,0.003,warmup_expcos,1.3,0.98,244545.0,244545.0,0.4342551529407501,0.118085116147995,141.0,0.125331312417984,0.1251038908958435
[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,relu,leakyrelu,1.0,0.003,constant,1.0,0.95,460609.0,460609.0,0.30979588627815247,0.209560364484787,33.0,0.4575101137161255,0.4571220576763153
[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,leakyrelu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,469185.0,469185.0,0.1060393750667572,0.10576894134283066,169.0,0.10691714286804199,0.10636716336011887
[0],500.0,512.0,0.0,0.0,L2,64.0,2.0,relu,leakyrelu,3.0,0.001,constant,1.0,0.95,253121.0,253121.0,0.09725819528102875,0.09461744874715805,173.0,0.09717761725187302,0.09739678353071213
[0],500.0,512.0,1e-05,0.0,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,464897.0,464897.0,0.1012730747461319,0.10118135064840317,315.0,0.10128259658813477,0.10122168809175491
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,constant,1.0,0.95,361153.0,361153.0,0.10095065087080002,0.09903542697429657,129.0,0.1295885294675827,0.11788562685251236
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,1.0,0.001,warmup_expcos,1.3,0.98,352577.0,352577.0,0.1121922954916954,0.10736211389303207,237.0,0.11451262980699539,0.10951880365610123
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,relu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,356865.0,356865.0,0.09935039281845093,0.09615302085876465,499.0,0.09815709292888641,0.09700542688369751
[0],500.0,512.0,0.0,0.0,L2,64.0,4.0,relu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,464897.0,464897.0,0.0943509116768837,0.09393327683210373,175.0,0.09980258345603943,0.09509068727493286
[0],500.0,512.0,0.0,0.0,L2,64.0,4.0,relu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,464897.0,464897.0,0.09606993943452835,0.09493791311979294,143.0,0.09684779495000839,0.09607214480638504
[0],500.0,512.0,1e-05,0.0,L2,64.0,4.0,relu,leakyrelu,1.0,0.001,constant,1.0,0.95,460609.0,460609.0,0.2652394771575928,0.12215998768806458,131.0,0.1619398146867752,0.14337822794914246
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,relu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,361153.0,361153.0,0.929436445236206,0.9294183850288391,27.0,0.9294584393501282,0.9294584393501282
[0],250.0,512.0,1e-05,0.0,L2,64.0,2.0,relu,leakyrelu,1.0,0.001,warmup_expcos,1.3,0.98,244545.0,244545.0,0.11599591374397278,0.11595373600721359,191.0,0.12009063363075256,0.11787959933280945
[0],500.0,512.0,0.0,1e-05,L2,64.0,3.0,relu,leakyrelu,1.0,0.003,warmup_expcos,1.3,0.98,352577.0,352577.0,0.13322946429252625,0.12994062900543213,117.0,0.13505104184150696,0.1317180097103119
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,relu,relu,3.0,0.003,constant,1.0,0.95,361153.0,361153.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,1e-05,0.0,L2,64.0,2.0,relu,leakyrelu,2.0,0.003,constant,1.0,0.95,248833.0,248833.0,0.13598372042179108,0.10921849310398102,89.0,0.1320747286081314,0.1493239402770996
[0],500.0,512.0,0.0,0.0,L2,64.0,2.0,relu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,244545.0,244545.0,0.09956980496644974,0.09787959605455399,217.0,0.0983169674873352,0.09813166409730911
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,relu,3.0,0.001,constant,1.0,0.95,361153.0,361153.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,1e-05,1e-05,L2,64.0,2.0,relu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,253121.0,253121.0,0.10381965339183807,0.10291031002998352,311.0,0.11351634562015533,0.12748461961746216
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,3.0,0.001,constant,1.0,0.95,253121.0,253121.0,0.11447079479694366,0.10142530500888824,119.0,0.11030873656272888,0.10623932629823685
[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,relu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,464897.0,464897.0,0.12052793800830841,0.10303396731615067,143.0,0.10418254137039185,0.10395925492048264
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.0,0.95,356865.0,356865.0,0.1702142357826233,0.12313224375247955,59.0,0.16601550579071045,0.13933110237121582
[0],500.0,512.0,0.0,1e-05,L2,64.0,3.0,leakyrelu,relu,1.0,0.003,constant,1.0,0.95,352577.0,352577.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
